"Dulles, John Foster"
"Dunham, Franklin"
"Dunnett, Sir George S."
"Durr, Clifford J."
"Dworshak, Henry C."
"Early, Stephen"
"Eastland, James O."
"Eaton, Charles A."
"Eban, Abba"
"Edelstein, Julius"
"Edwards, India"
"Eichelberger, Clark M."
"Einstein, Albert"
"Eisendrath, Maurice N."
"Eisenhower, Dwight D."
"Elath, Elihu"
"Elizabeth II, Queen of England"
"Elizabeth, Queen Mother"
"Elkus, Abram I."
"Ellender, Allen J."
"Elman, Mischa and Helen"
"Ely, Joseph B."
"Embury, Edward Coe"
"Embury.Aymar II"
"Engel, Irving M. &amp; Mrs. K."
"Engle, Clair"
"Epstein, Henry &amp; Mrs. (Ethel)"
"Ernst, Morris"
"Ervin, Sam J., Jr."
"Eshkol, Levi"
"Evatt, Herbert V."
"Ewing, Oscar R."
"Fahy, Charles"
"Farbstein, Leonard"
"Farley, James A."
"Farrell, James T."
"Farrington, J. R."
"Fearon, George R."
"Feierabend, Ladislav"
"Feller, Abraham H."
"Ferguson, Homer"
"Finch, Edward R."
"Finkelstein, Louis"
"Finletter, Thomas K."
"Fischer, Louis"
"Fishbein, Morris"
"Fisk, Shirley C."
"Fitzpatrick, Paul E."
"Flanders, Ralph E."
"Fleesan, Doris"
"Flexner, Abraham"
"Flexner, Bernard"
"Flexner, Carolin"
"Flexner, Simon"
"Flynn, Edward J. and Mrs. Helen"
"Foley, James A."
"Folks, Homer"
"Folsom, Marion B."
"Ford, Henry II"
"Fordham, Jefferson B."
"Forrestal, James"
"Fosdick, Harry Emerson"
"Frank, Jerome N."
"Frankfurter, Felix"
"Franks, Sir Oliver"
"Frear, J. Allen, Jr."
"Freeman, Orville L."
"French, Eleanor Clark"
"Frew, Walter E. and Mrs."
"Froessel, Charles W."
"Fulbright, J. William"
"Fuller, Samuel R. Jr."
"Galbrath, John Kenneth"
"Gannett, Frank E."
"Garrison, Lloyd K. and Mrs. Ellen"
"Gauss, Christian"
"Gellhorn, Walter"
"Geoghan, William F.X."
"George II, King of Greece"
"George VI, King of England"
"George, Walter F."
"Georgoupulos, N."
"Gerard, James W."
"Gerry, Peter G."
"Gibbons, Edmund F."
"Gildersleeve, Virginia"
"Gillette, Guy M."
"Gish, Lillian"
"Glass, Carter"
"Goldberg, Arthur J."
"Golden, Harry"
"Goldmann, Nahum"
"Goldstein, Israel"
"Goldwater, Barry M."
